CTY_CODE,CTY_NAME,I_ENDUSE,I_ENDUSE_LDESC,GEN_VAL_MO,CON_VAL_MO,AIR_WGT_MO,CNT_WGT_MO,VES_WGT_MO,I_ENDUSE,time
6040,PAPUA NEW GUINEA,00010,COCOA BEANS,1825500,1825500,0,731520,731520,00010,2020-01
2489,GRENADA,00010,COCOA BEANS,4172,4172,1090,0,0,00010,2020-01
3010,COLOMBIA,00010,COCOA BEANS,254616,254616,0,75950,75950,00010,2020-01
3070,VENEZUELA,00010,COCOA BEANS,281799,281799,0,113401,113401,00010,2020-01
3310,ECUADOR,00010,COCOA BEANS,9281115,9281115,0,3359617,3359617,00010,2020-01
3330,PERU,00010,COCOA BEANS,2777624,2777624,0,973066,973066,00010,2020-01
3510,BRAZIL,00010,COCOA BEANS,2900,2900,818,0,0,00010,2020-01
6863,FIJI,00010,COCOA BEANS,17850,17850,0,2550,2550,00010,2020-01
7480,COTE D'IVOIRE,00010,COCOA BEANS,64443127,64443127,0,7278695,30637115,00010,2020-01
7490,GHANA,00010,COCOA BEANS,21731362,21731362,0,11095280,11095280,00010,2020-01
7660,DEMOCRATIC REPUBLIC OF THE CONGO,00010,COCOA BEANS,1658440,1658440,0,634845,634845,00010,2020-01
-,TOTAL FOR ALL COUNTRIES,00010,COCOA BEANS,106641000,106641000,3346,25784531,49142951,00010,2020-01
1XXX,NORTH AMERICA,00010,COCOA BEANS,7584,7584,0,0,0,00010,2020-01
7XXX,AFRICA,00010,COCOA BEANS,88001727,88001727,0,19062591,42421011,00010,2020-01
0014,PACIFIC RIM COUNTRIES,00010,COCOA BEANS,1825500,1825500,0,731520,731520,00010,2020-01
0017,CAFTA-DR,00010,COCOA BEANS,4186113,4186113,1438,1465836,1465836,00010,2020-01
6XXX,AUSTRALIA AND OCEANIA,00010,COCOA BEANS,1843350,1843350,0,734070,734070,00010,2020-01
0020,USMCA (NAFTA),00010,COCOA BEANS,7584,7584,0,0,0,00010,2020-01
0021,TWENTY LATIN AMERICAN REPUBLICS,00010,COCOA BEANS,16791751,16791751,2256,5987870,5987870,00010,2020-01
0022,OECD,00010,COCOA BEANS,7584,7584,0,0,0,00010,2020-01
0024,LAFTA,00010,COCOA BEANS,12605638,12605638,818,4522034,4522034,00010,2020-01
0026,APEC,00010,COCOA BEANS,4610708,4610708,0,1704586,1704586,00010,2020-01
0028,CACM,00010,COCOA BEANS,11688,11688,1438,0,0,00010,2020-01
2010,MEXICO,00010,COCOA BEANS,7584,7584,0,0,0,00010,2020-01
2050,GUATEMALA,00010,COCOA BEANS,7838,7838,896,0,0,00010,2020-01
2230,COSTA RICA,00010,COCOA BEANS,3850,3850,542,0,0,00010,2020-01
2470,DOMINICAN REPUBLIC,00010,COCOA BEANS,4174425,4174425,0,1465836,1465836,00010,2020-01
7830,TANZANIA,00010,COCOA BEANS,43500,43500,0,15000,15000,00010,2020-01
7880,MADAGASCAR,00010,COCOA BEANS,125298,125298,0,38771,38771,00010,2020-01
2XXX,CENTRAL AMERICA,00010,COCOA BEANS,4190285,4190285,2528,1465836,1465836,00010,2020-01
3XXX,SOUTH AMERICA,00010,COCOA BEANS,12598054,12598054,818,4522034,4522034,00010,2020-01
6040,PAPUA NEW GUINEA,00010,COCOA BEANS,1282050,1282050,0,518160,518160,00010,2020-02
2489,GRENADA,00010,COCOA BEANS,0,0,0,0,0,00010,2020-02
3010,COLOMBIA,00010,COCOA BEANS,299339,299339,0,100914,100914,00010,2020-02
3070,VENEZUELA,00010,COCOA BEANS,0,0,0,0,0,00010,2020-02
3310,ECUADOR,00010,COCOA BEANS,10600558,10600558,0,3548682,3548682,00010,2020-02
3330,PERU,00010,COCOA BEANS,1266416,1266416,0,472581,472581,00010,2020-02
3510,BRAZIL,00010,COCOA BEANS,0,0,0,0,0,00010,2020-02
6863,FIJI,00010,COCOA BEANS,0,0,0,0,0,00010,2020-02
7420,CAMEROON,00010,COCOA BEANS,763898,763898,0,301694,301694,00010,2020-02
